30,10.682
13,10.7639
30,11.223
13,10.9943
30,10.3812
13,10.5816
30,11.4482
13,10.8697
42,10.8618
13,11.917
42,11.4351
13,13.1378
42,11.4152
13,11.8477
42,12.3658
13,13.6626
22,9.5448
22,9.0523
13,11.5847
22,10.5354
13,11.4593
22,10.2534
22,9.5283
22,9.0478
13,11.6999
22,10.4969
13,11.5881
22,10.213
30,9.9363
42,10.7318
30,12.254
42,9.8185
30,9.9326
42,10.6788
30,11.7329
42,10.8507
30,9.9468
22,9.0086
30,10.0598
22,9.14
22,9.929
22,10.425
30,10.1167
22,8.9329
30,10.1174
22,9.0531
22,9.814
22,10.4159
42,10.9105
22,10.9359
42,11.1047
22,11.1904
22,12.1195
22,12.1596
42,11.0155
22,10.9569
42,11.1695
22,11.2599
22,12.6105
22,13.4546
30,9.6121
42,11.0317
30,11.1595
42,10.538
13,10.5121
30,9.8693
42,10.6818
13,10.5133
30,11.7448
13,10.663
42,10.4714
13,10.7156
30,10.0638
22,8.7457
30,9.9098
22,8.9675
22,9.5539
22,8.6718
13,10.5115
30,9.7786
22,9.1914
13,10.5115
30,9.7682
22,9.448
13,10.6144
22,9.2422
13,10.621
22,10.3023
42,10.7626
22,9.8745
42,10.6101
22,9.0242
22,9.5064
22,9.0424
13,11.7223
42,11.0501
22,10.3763
13,11.7224
42,11.0732
22,10.6176
13,11.7383
22,10.4581
13,11.3618
22,10.2103
30,9.6289
42,10.5781
22,8.9838
30,9.7837
42,10.7193
22,9.3159
30,10.1482
22,8.9103
30,10.2262
22,9.0574
42,10.6084
22,9.462
42,10.6086
22,10.5634
22,9.9111
22,10.4175
